No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category
892,Anuradhapura,Anuradhapura,Thirappane,2013-10-26,Accident,Male,45,Subadults and adults
893,Polonnaruwa,Polonnaruwa,Welikanda,2013-10-27,Accident,Male,25-30,Subadults and adults
894,Anuradhapura,Anuradhapura,Horowpothana,2013-10-29,Hakkapatas,Female,8,Juvenile
895,Southern,Ratnapura,Embilipitiya,2013-10-31,Natural,Male,Unknown,Unknown
896,Anuradhapura,Anuradhapura,Horowpothana,2013-11-01,Hakkapatas,Female,5,Juvenile
897,Uva,Monaragala,Lunugamvehera,2013-11-02,Unknown,Male,1 Month,Infant
898,Anuradhapura,Anuradhapura,Horowpothana,2013-11-08,Hakkapatas,Female,15,Subadults and adults
899,Eastern,Monaragala,Siyambalanduwa,2013-11-08,Hakkapatas,Male,5,Juvenile
900,Uva,Monaragala,Buttala,2013-11-09,Gunshot,Male,25,Subadults and adults
901,Polonnaruwa,Trincomalee,Gomarankadawala,2013-11-13,Hakkapatas,Female,8-10,Juvenile
902,Eastern,Batticaloa,Koralai Pattu (Valachchenai),2013-11-18,Unknown,Male,35-40,Subadults and adults
903,Anuradhapura,Anuradhapura,Horowpothana,2013-11-19,Unknown,Male,15,Subadults and adults
904,Anuradhapura,Anuradhapura,Kekirawa,2013-11-20,Poisned,Male,55-60,Subadults and adults
905,Polonnaruwa,Polonnaruwa,Welikanda,2013-11-20,Natural,Male,1 Month,Infant
906,Southern,Hambantota,Lunugamvehera,2013-11-22,Electrocuted,Male,30-35,Subadults and adults
907,Southern,Hambantota,Hambantota,2013-11-23,Electrocuted,Male,12-15,Subadults and adults
908,Southern,Hambantota,Hambantota,2013-11-23,Electrocuted,Female,18-20,Subadults and adults
909,Eastern,Ampara,Mahiyanganaya,2013-11-23,Body destroyed,Male,30-35,Subadults and adults
910,Southern,Hambantota,Hambantota,2013-11-23,Electrocuted,Female,20-25,Subadults and adults
911,Southern,Hambantota,Hambantota,2013-11-23,Electrocuted,Female,1,Calf
912,Polonnaruwa,Trincomalee,Kantalai,2013-11-24,Poisned,Male, 20-25,Subadults and adults
913,Polonnaruwa,Polonnaruwa,Thamankaduwa,2013-11-25,Train Accident,Male,40,Subadults and adults
914,Anuradhapura,Anuradhapura,Galenbindunuwewa,2013-11-30,Unknown,Male,8,Juvenile
915,Uva,Monaragala,Siyambalanduwa,2013-11-30,Unknown,Female,1.5,Calf
916,Southern,Ratnapura,Embilipitiya,2013-11-30,Natural,Female,Unknown,Unknown
917,Eastern,Ampara,Lahugala,2013-12-01,Hakkapatas,Female,10-12,Juvenile
918,Polonnaruwa,Trincomalee,Kantalai,2013-12-02,Gunshot,Male,25-30,Subadults and adults
919,Polonnaruwa,Trincomalee,Morawewa,2013-12-05,Hakkapatas,Female,15-20,Subadults and adults
920,Polonnaruwa,Polonnaruwa,Hingurakgoda,2013-12-06,Train Accident,Male,25-30,Subadults and adults
921,Anuradhapura,Anuradhapura,Kekirawa,2013-12-07,Accident,Male,1 day,Unknown
922,Polonnaruwa,Trincomalee,Seruvila,2013-12-07,Gunshot,Male,18-22,Subadults and adults
923,Anuradhapura,Anuradhapura,Palugaswewa,2013-12-09,Train Accident,Male,25,Subadults and adults
924,Eastern,Ampara,Damana,2013-12-09,Unknown,Male,40-45,Subadults and adults
925,Southern,Monaragala,Thanamalvila,2013-12-10,Other,Female,35,Subadults and adults
926,Anuradhapura,Anuradhapura,Kekirawa,2013-12-11,Gunshot,Male,35,Subadults and adults
927,Southern,Monaragala,Thanamalvila,2013-12-15,Other,Female,30,Subadults and adults
928,Southern,Hambantota,Hambantota,2013-12-16,Electrocuted,Male,25,Subadults and adults
929,Eastern,Ampara,Samanthurai,2013-12-16,Electrocuted,Male,35-38,Subadults and adults
930,North Western,Puttalam,Nawagattegama,2013-12-20,Gunshot,Male,15-20,Subadults and adults
931,Polonnaruwa,Trincomalee,Morawewa,2013-12-22,Hakkapatas,Male,7-9,Juvenile
932,Uva,Monaragala,Siyambalanduwa,2013-12-24,Gunshot,Female,25-30,Subadults and adults
933,Southern,Hambantota,Hambantota,2013-12-24,Electrocuted,Male,25-30,Subadults and adults
934,North Western,Kurunegala,Galgamuwa,2013-12-24,Poisned,Female,25-30,Subadults and adults
935,Eastern,Ampara,Damana,2013-12-25,Unknown,Male,30-35,Subadults and adults
936,Polonnaruwa,Trincomalee,Seruvila,2013-12-27,Unknown,Female,25-30,Subadults and adults
937,Southern,Ratnapura,Embilipitiya,2013-12-31,Natural,Female,Unknown,Unknown
938,North Western,Puttalam,Nawagattegama,2013-12-31,Accident,Unknown,Unknown,Unknown
939,Southern,Monaragala,Thanamalvila,2014-01-05,Natural,Female,30,Subadults and adults
940,Polonnaruwa,Polonnaruwa,Medirigiriya,2014-01-09,Gunshot,Female,15-18,Subadults and adults
941,Polonnaruwa,Polonnaruwa,Lankapura,2014-01-12,Hakkapatas,Male,15-20,Subadults and adults
942,Eastern,Batticaloa,Eravur Pattu,2014-01-14,Hakkapatas,Male,25-30,Subadults and adults
943,Polonnaruwa,Polonnaruwa,Elahera,2014-01-16,Gunshot,Female,15,Subadults and adults
944,Southern,Monaragala,Thanamalvila,2014-01-17,Gunshot,Male,35,Subadults and adults
945,Anuradhapura,Anuradhapura,N. Palatha Central,2014-01-19,Electrocuted,Male,20,Subadults and adults
946,Southern,Hambantota,Hambantota,2014-01-20,Electrocuted,Male,25-30,Subadults and adults
947,Anuradhapura,Anuradhapura,Medawachchiya,2014-01-23,Electrocuted,Male,35,Subadults and adults
948,Anuradhapura,Anuradhapura,N. Palatha Central,2014-01-23,Electrocuted,Male,25,Subadults and adults
949,Anuradhapura,Anuradhapura,Palugaswewa,2014-01-24,Unknown,Unknown,30,Subadults and adults
950,Polonnaruwa,Batticaloa,Koralai Pattu North,2014-01-27,Hakkapatas,Female,20-25,Subadults and adults
951,Eastern,Ampara,Uhana,2014-01-28,Gunshot,Male,12-15,Subadults and adults
952,Eastern,Ampara,Ampara,2014-01-28,Accident,Male,30-35,Subadults and adults
953,Polonnaruwa,Batticaloa,Koralai Pattu North,2014-01-29,Gunshot,Male,15,Subadults and adults
954,Eastern,Ampara,Uhana,2014-01-29,Hakkapatas,Male,12-15,Subadults and adults
955,Uva,Hambantota,Lunugamvehera,2014-01-30,Unknown,Male,15-20,Subadults and adults
956,Southern,Ratnapura,Embilipitiya,2014-01-31,Natural,Female,Unknown,Unknown
957,Southern,Ratnapura,Embilipitiya,2014-01-31,Natural,Male,Unknown,Unknown
958,Eastern,Batticaloa,Koralai Pattu (Valachchenai),2014-01-31,Unknown,Male,5-7,Juvenile
959,Southern,Ratnapura,Embilipitiya,2014-01-31,Natural,Female,Unknown,Unknown
960,Anuradhapura,Anuradhapura,Thirappane,2014-02-02,Gunshot,Male,45,Subadults and adults
961,Polonnaruwa,Ampara,Dehiattakandiya,2014-02-04,Hakkapatas,Female,10-11,Juvenile
962,Polonnaruwa,Trincomalee,Gomarankadawala,2014-02-05,Hakkapatas,Male,8-10,Juvenile
963,Polonnaruwa,Polonnaruwa,Hingurakgoda,2014-02-05,Train Accident,Unknown,15-20,Subadults and adults
964,Polonnaruwa,Polonnaruwa,Hingurakgoda,2014-02-05,Train Accident,Unknown,30-35,Subadults and adults
965,North Western,Kurunegala,Ehetuwewa,2014-02-07,Accident,Female,25-30,Subadults and adults
966,North Western,Kurunegala,Ehetuwewa,2014-02-07,Accident,Unknown,1,Calf
