No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category
138,Polonnaruwa,Polonnaruwa,Hinguraggoda,2010-09-09,Gunshot,Male,8-10,Juvenile
139,Eastern,Monaragala,Siyambalanduwa,2010-09-09,Gunshot,Male,25-30,Subadults and adults
140,Eastern,Ampara,Lahugala,2010-09-09,Accident,Male,5-6,Juvenile
141,Eastern,Batticaloa,Chenkalladi,2010-09-10,Gunshot,Male,30-35,Subadults and adults
142,Southern,Monaragala,Thanamalvila,2010-09-11,Gunshot,Male,25-30,Subadults and adults
143,YalaBundala,Hambantota,Hambanthota,2010-09-11,Other,Female,2.5,Calf
144,Polonnaruwa,Polonnaruwa,Hinguraggoda,2010-09-14,Unknown,Female,15,Subadults and adults
145,Polonnaruwa,Trincomalee,Morawewa,2010-09-14,Gunshot,Male,12-15,Subadults and adults
146,Polonnaruwa,Trincomalee,Morawewa,2010-09-14,Gunshot,Unknown,20,Subadults and adults
147,North Western,Anuradhapura,Madawachchiya,2010-09-15,Unknown,Unknown,Unknown,Unknown
148,Eastern,Ampara,Damana,2010-09-15,Gunshot,Male,25-30,Subadults and adults
149,Southern,Badulla,Haldumulla,2010-09-20,Unknown,Unknown,Unknown,Unknown
150,North Western,Anuradhapura,Kakirawa,2010-09-21,Poisned,Male,17,Subadults and adults
151,North Western,Kurunegala,Ahatuwewa,2010-09-22,Accident,Male,5.5 Months,Infant
152,Eastern,Batticaloa,Chenkalladi,2010-09-23,Gunshot,Male,30-33,Subadults and adults
153,North Western,Trincomalee,Padavi Sripura,2010-09-24,Accident,Male,3-4,Calf
154,Polonnaruwa,Polonnaruwa,Hinguraggoda,2010-09-27,Unknown,Unknown,50-60,Subadults and adults
155,North Western,Mannar,Musali,2010-09-28,Gunshot,Male,40-45,Subadults and adults
156,North Western,Vavuniya,Vawniya South,2010-09-30,Accident,Male,3-4,Calf
157,North Western,Anuradhapura,Pandulagama,2010-10-01,Unknown,Male,3 Months,Infant
158,Polonnaruwa,Polonnaruwa,Hinguraggoda,2010-10-03,Train Accident,Female,17-18,Subadults and adults
159,Polonnaruwa,Polonnaruwa,Hinguraggoda,2010-10-03,Train Accident,Female,Unknown,Unknown
160,North Western,Mannar,Musali,2010-10-04,Gunshot,Male,15,Subadults and adults
161,Polonnaruwa,Polonnaruwa,Hinguraggoda,2010-10-04,Unknown,Female,30,Subadults and adults
162,Polonnaruwa,Trincomalee,Kanthale,2010-10-05,Gunshot,Male,25-30,Subadults and adults
163,Southern,Ratnapura,Weligepola,2010-10-08,Unknown,Male,35-40,Subadults and adults
164,YalaBundala,Hambantota,Hambanthota,2010-10-08,Electrocuted,Male,25-30,Subadults and adults
165,Polonnaruwa,Polonnaruwa,Welikanda,2010-10-12,Hakkapatas,Female,25,Subadults and adults
166,Polonnaruwa,Polonnaruwa,Dimbulagala,2010-10-13,Unknown,Female,10-15,Unknown
167,Polonnaruwa,Trincomalee,Morawewa,2010-10-13,Other,Male,20,Subadults and adults
168,Polonnaruwa,Polonnaruwa,Welikanda,2010-10-17,Gunshot,Female,15-20,Subadults and adults
169,Polonnaruwa,Polonnaruwa,Dimbulagala,2010-10-18,Accident,Unknown,25,Subadults and adults
170,Southern,Hambantota,Ambalanthota,2010-10-20,Electrocuted,Male,25,Subadults and adults
171,North Western,Anuradhapura,Thirappane,2010-10-20,Unknown,Male,15,Subadults and adults
172,Eastern,Ampara,Lahugala,2010-10-24,Natural,Male,60-65,Subadults and adults
173,North Western,Vavuniya,Settikulama,2010-10-25,Gunshot,Male,3 Months,Infant
174,North Western,Kurunegala,Mahawa,2010-10-25,Body destroyed,Male,25,Subadults and adults
175,Eastern,Ampara,Addalachchena,2010-10-27,Unknown,Male,30-35,Subadults and adults
176,Southern,Hambantota,Hambanthota,2010-10-30,Natural,Female,15,Subadults and adults
177,Polonnaruwa,Trincomalee,Nagara  ha Kadawath,2010-11-01,Gunshot,Unknown,Unknown,Unknown
178,Polonnaruwa,Polonnaruwa,Alahara,2010-11-01,Unknown,Female,20-25,Subadults and adults
179,North Western,Anuradhapura,Kahatagasdigiliya,2010-11-01,Poisned,Male,25,Subadults and adults
180,Eastern,Ampara,Uhana,2010-11-01,Electrocuted,Male,35-40,Subadults and adults
181,YalaBundala,Monaragala,Kataragama,2010-11-02,Other,Male,50,Subadults and adults
182,Polonnaruwa,Polonnaruwa,Thamankaduwa,2010-11-03,Unknown,Male,25-30,Subadults and adults
183,Southern,Hambantota,Lunugamwehera,2010-11-04,Electrocuted,Female,25,Subadults and adults
184,North Western,Anuradhapura,Kabithigollawe,2010-11-05,Accident,Female,30,Subadults and adults
185,North Western,Anuradhapura,Kabithigollawe,2010-11-05,Gunshot,Female,4,Calf
186,North Western,Mannar,Settikulama,2010-11-05,Hakkapatas,Male,6,Juvenile
187,YalaBundala,Hambantota,Thissamaharamaya,2010-11-09,Electrocuted,Male,30,Subadults and adults
188,Polonnaruwa,Polonnaruwa,Dimbulagala,2010-11-09,Unknown,Male,35,Subadults and adults
189,Polonnaruwa,Trincomalee,Kanthale,2010-11-10,Unknown,Unknown,25-30,Subadults and adults
190,North Western,Anuradhapura,Kahatagasdigiliya,2010-11-14,Unknown,Unknown,Unknown,Unknown
191,Polonnaruwa,Trincomalee,Gomarankadawela,2010-11-15,Body destroyed,Male,3-4,Calf
192,North Western,Anuradhapura,Horowpothana,2010-11-15,Poisned,Male,4.5,Juvenile
193,North Western,Anuradhapura,Madawachchiya,2010-11-17,Hakkapatas,Male,2.5,Calf
194,Southern,Monaragala,Thanamalvila,2010-11-20,Gunshot,Male,30,Subadults and adults
195,North Western,Vavuniya,Omanthe,2010-11-20,Hakkapatas,Male,3.5,Calf
196,Polonnaruwa,Trincomalee,Morawewa,2010-11-21,Body destroyed,Male,25-30,Subadults and adults
197,North Western,Anuradhapura,Horowpothana,2010-11-21,Unknown,Unknown,Unknown,Unknown
198,North Western,Kurunegala,Galgamuwa,2010-11-23,Accident,Male,35,Subadults and adults
199,Eastern,Ampara,Addalachchena,2010-11-27,Gunshot,Male,30-35,Subadults and adults
200,Southern,Monaragala,Thanamalvila,2010-11-30,Electrocuted,Male,40-45,Subadults and adults
201,Polonnaruwa,Trincomalee,Serunuwara,2010-12-03,Hakkapatas,Male,15-20,Subadults and adults
202,North Western,Anuradhapura,Ipalogama,2010-12-03,Hakkapatas,Male,8,Juvenile
203,North Western,Anuradhapura,Thirappane,2010-12-03,Hakkapatas,Male,10,Juvenile
204,North Western,Anuradhapura,M.Nu.gampalatha,2010-12-03,Electrocuted,Male,30,Subadults and adults
205,Eastern,Monaragala,Madulla,2010-12-04,Body destroyed,Male,30-35,Subadults and adults
206,Eastern,Batticaloa,Wakarei,2010-12-04,Gunshot,Female,10-12,Juvenile
207,Polonnaruwa,Polonnaruwa,Welikanda,2010-12-04,Other,Male,35,Subadults and adults
208,North Western,Puttalam,Karuwalagaswewa,2010-12-05,Other,Female,6 Months,Infant
209,North Western,Kurunegala,Galgamuwa,2010-12-06,Accident,Unknown,10-15,Unknown
210,North Western,Mannar,Musali,2010-12-06,Hakkapatas,Male,25,Subadults and adults
211,North Western,Puttalam,Karuwalagaswewa,2010-12-09,Other,Female,40-50,Subadults and adults
