No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category
1,Southern,Monaragala,Thanamalvila,2014-01-05,Natural,Female,30,Subadults and adults
2,Polonnaruwa,Polonnaruwa,Madirigiriya,2014-01-09,Gunshot,Female,15-18,Subadults and adults
3,Polonnaruwa,Polonnaruwa,Lankapura,2014-01-12,Hakkapatas,Male,15-20,Subadults and adults
4,Eastern,Batticaloa,Chencalladi,2014-01-14,Hakkapatas,Male,25-30,Subadults and adults
5,Polonnaruwa,Polonnaruwa,Elahara,2014-01-16,Gunshot,Female,15,Subadults and adults
6,Southern,Monaragala,Thanamalvila,2014-01-17,Gunshot,Male,35,Subadults and adults
7,Anuradhapura,Anuradhapura,Ma.Nu. Gampalatha,2014-01-19,Electrocuted,Male,20,Subadults and adults
8,Southern,Hambantota,Hambanthota,2014-01-20,Electrocuted,Male,25-30,Subadults and adults
9,Anuradhapura,Anuradhapura,Madwachchiya,2014-01-23,Electrocuted,Male,35,Subadults and adults
10,Anuradhapura,Anuradhapura,Ma.Nu. Gampalatha,2014-01-23,Electrocuted,Male,25,Subadults and adults
11,Anuradhapura,Anuradhapura,Palugaswewa,2014-01-24,Unknown,Unknown,30,Subadults and adults
12,Polonnaruwa,Batticaloa,Wakare,2014-01-27,Hakkapatas,Female,20-25,Subadults and adults
13,Eastern,Ampara,Uhana,2014-01-28,Gunshot,Male,12-15,Subadults and adults
14,Eastern,Ampara,Ampara,2014-01-28,Accident,Male,30-35,Subadults and adults
15,Polonnaruwa,Batticaloa,Wakare,2014-01-29,Gunshot,Male,15,Subadults and adults
16,Eastern,Ampara,Uhana,2014-01-29,Hakkapatas,Male,12-15,Subadults and adults
17,Uva,Hambantota,Lunugamwehera,2014-01-30,Unknown,Male,15-20,Subadults and adults
18,Southern,Ratnapura,Embilipitiya,2014-01-31,Natural,Female,Unknown,Unknown
19,Southern,Ratnapura,Embilipitiya,2014-01-31,Natural,Male,Unknown,Unknown
20,Eastern,Batticaloa,Kiran,2014-01-31,Unknown,Male,5-7,Juvenile
21,Southern,Ratnapura,Embilipitiya,2014-01-31,Natural,Female,Unknown,Unknown
22,Anuradhapura,Anuradhapura,Thirappane,2014-02-02,Gunshot,Male,45,Subadults and adults
23,Polonnaruwa,Ampara,Dehiattakandiya,2014-02-04,Hakkapatas,Female,10-11,Juvenile
24,Polonnaruwa,Trincomalee,Gomarankadawala,2014-02-05,Hakkapatas,Male,8-10,Juvenile
25,Polonnaruwa,Polonnaruwa,Hinguraggoda,2014-02-05,Train Accident,Unknown,15-20,Subadults and adults
26,Polonnaruwa,Polonnaruwa,Hinguraggoda,2014-02-05,Train Accident,Unknown,30-35,Subadults and adults
27,North Western,Kurunegala,Ahatuwawa,2014-02-07,Accident,Female,25-30,Subadults and adults
28,North Western,Kurunegala,Ahatuwawa,2014-02-07,Accident,Unknown,1,Calf
