No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category
1,Polonnaruwa,Matale,Laggala,2015-01-01,Accident,Male,3 Months,Infant
2,North Western,Kurunegala,Polpithigama,2015-01-02,Natural,Male,1,Calf
3,Uva,Monaragala,Buththala,2015-01-04,Fallen into well,Unknown,Unknown,Unknown
4,North Western,Kurunegala,Mahawa,2015-01-05,Gunshot,Male,15-20,Subadults and adults
5,Eastern,Ampara,Mahaoya,2015-01-06,Gunshot,Male,40-50,Subadults and adults
6,Eastern,Batticaloa,Pattipola,2015-01-07,Electrocuted,Male,20-25,Subadults and adults
7,Eastern,Batticaloa,Pattipola,2015-01-07,Gunshot,Male,10-15,Unknown
8,Eastern,Ampara,Thirukkovil,2015-01-11,Hakkapatas,Male,12-15,Subadults and adults
9,North Western,Kurunegala,Ahetuwewa,2015-01-11,Gunshot,Female,30,Subadults and adults
10,Central,Badulla,Mahiyanganaya,2015-01-12,Unknown,Male,25,Subadults and adults
11,Eastern,Ampara,Thirukkovil,2015-01-18,Unknown,Male,18-25,Subadults and adults
12,Eastern,Batticaloa,Chenkaladi,2015-01-18,Natural,Male,30,Subadults and adults
13,Polonnaruwa,Polonnaruwa,"Dimbulagala, Aralaganvila",2015-01-24,Hakkapatas,Male,40-45,Subadults and adults
14,Polonnaruwa,Polonnaruwa,"Dimbulagala, Aralaganvila",2015-01-24,Gunshot,Male,40-45,Subadults and adults
15,Uva,Hambantota,Thissamaharama,2015-01-24,Unknown,Male,30-35,Subadults and adults
16,Eastern,Ampara,Akkarepaththuwa,2015-01-24,Hakkapatas,Male,30,Subadults and adults
17,Trincomalee,Trincomalee,Kandamalawa,2015-01-25,Hakkapatas,Male,6-7,Juvenile
18,Polonnaruwa,Polonnaruwa,"Dimbulagala, Aralaganvila",2015-01-26,Gunshot,Female,25-30,Subadults and adults
19,Polonnaruwa,Polonnaruwa,Welikanda,2015-01-29,Electrocuted,Male,25,Subadults and adults
20,Eastern,Ampara,Mahaoya,2015-01-30,Gunshot,Male,50-60,Subadults and adults
21,Eastern,Ampara,Mahaoya,2015-01-30,Gunshot,Male,20-30,Subadults and adults
22,Eastern,Ampara,"Uhana, damana",2015-02-06,Unknown,Female,15-20,Subadults and adults
23,Eastern,Ampara,Thirukkovil,2015-02-07,Hakkapatas,Female,12-15,Subadults and adults
24,Central,Kandy,"Minipe, Hasalaka",2015-02-08,Unknown,Female,5.5,Juvenile
25,Polonnaruwa,Polonnaruwa,"Dimbulagala, Aralaganvila",2015-02-08,Gunshot,Male,25-30,Subadults and adults
26,Southern,Monaragala,Thanamalvila,2015-02-08,Gunshot,Male,8,Juvenile
27,Eastern,Ampara,Dehiaththakandiya,2015-02-09,Hakkapatas,Male,20-25,Subadults and adults
28,Trincomalee,Trincomalee,Trincomalee,2015-02-11,Hakkapatas,Male,6-7,Juvenile
29,Polonnaruwa,Matale,Dambulla,2015-02-11,Gunshot,Male,35-40,Subadults and adults
30,Polonnaruwa,Polonnaruwa,"Dimbulagala, Aralaganvila",2015-02-12,Hakkapatas,Male,30-35,Subadults and adults
31,Vavuniya,Anuradhapura,Kebithigollewa,2015-02-14,Electrocuted,Male,30,Subadults and adults
32,Polonnaruwa,Polonnaruwa,Palugaswewa,2015-02-17,Gunshot,Female,25-30,Subadults and adults
33,Trincomalee,Trincomalee,Morawewa,2015-02-18,Hakkapatas,Male,10-11,Juvenile
34,Trincomalee,Trincomalee,Gomarankadawala,2015-02-19,Hakkapatas,Male,6-7,Juvenile
35,Eastern,Ampara,Addalachchena,2015-02-20,Electrocuted,Male,35-40,Subadults and adults
36,Trincomalee,Trincomalee,Morawewa,2015-02-20,Natural,Female,3 Months,Infant
37,Anuradhapura,Anuradhapura,Mahavilachchiya,2015-02-21,Poisned,Male,35-40,Subadults and adults
