No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category,Main_Cause
1303,Eastern,Badulla,Mahiyanganaya,2015-09-08,Unknown,Male,Unknown,Unknown,Unknown
1304,North Western,Kurunegala,Polpithigama,2015-09-09,Gunshot,Male,40,Subadults and adults,Intentional
1305,Anuradhapura,Anuradhapura,Thirappane,2015-09-10,Hakkapatas,Male,45,Subadults and adults,Intentional
1306,North Western,Kurunegala,Galgamuwa,2015-09-14,Poisned,Female,10-12,Juvenile,Intentional
1307,Eastern,Ampara,Pothuvil,2015-09-16,Gunshot,Male,25-30,Subadults and adults,Intentional
1308,Kilinochchi,Mullaitivu,Oddusuddan,2015-09-17,Train Accident,Male,40,Subadults and adults,Unintentional
1309,Anuradhapura,Anuradhapura,Kebithigollewa,2015-09-18,Attack by an elephant,Male,40,Subadults and adults,Natural
1310,Anuradhapura,Anuradhapura,Kebithigollewa,2015-09-19,Unknown,Male,45,Subadults and adults,Unknown
1311,Anuradhapura,Anuradhapura,Kahatagasdigiliya,2015-09-19,Hakkapatas,Unknown,Unknown,Unknown,Intentional
1312,Eastern,Ampara,Mahaoya,2015-09-21,Gunshot,Female,30,Subadults and adults,Intentional
1313,Eastern,Ampara,Lahugala,2015-09-23,Attack by an elephant,Male,15-20,Subadults and adults,Natural
1314,North Western,Anuradhapura,Kekirawa,2015-09-25,Hakkapatas,Male,2,Calf,Intentional
1315,Eastern,Batticaloa,Eravur Pattu,2015-09-28,Unknown,Male,30-35,Subadults and adults,Unknown
1316,Trincomalee,Trincomalee,Unknown,2015-09-30,Unknown,Unknown,Unknown,Unknown,Unknown
1317,Anuradhapura,Puttalam,Vanathavilluwa,2015-10-01,Train Accident,Female,15-20,Subadults and adults,Unintentional
1318,Uva,Monaragala,Madulla,2015-10-03,Unknown,Unknown,Unknown,Unknown,Unknown
1319,Southern,Hambantota,Thissamaharama,2015-10-06,Electrocuted,Female,15,Subadults and adults,Unintentional
1320,Polonnaruwa,Polonnaruwa,Dimbulagala,2015-10-06,Hakkapatas,Male,6-7,Juvenile,Intentional
1321,Trincomalee,Trincomalee,Kantalai,2015-10-08,Injured,Male,40,Subadults and adults,Natural
1322,Trincomalee,Trincomalee,Seruvila,2015-10-09,Poisned,Female,Unknown,Unknown,Intentional
1323,Trincomalee,Trincomalee,Seruvila,2015-10-10,Electrocuted,Male,35,Subadults and adults,Unintentional
1324,Southern,Hambantota,Hambantota,2015-10-13,Natural,Female,20,Subadults and adults,Natural
1325,Central,Badulla,Mahiyanganaya,2015-10-13,Natural,Female,1,Calf,Natural
1326,North Western,Kurunegala,Galgamuwa,2015-10-16,Train Accident,Female,15-20,Subadults and adults,Unintentional
1327,Eastern,Ampara,Uhana,2015-10-19,Gunshot,Male,Unknown,Unknown,Intentional
1328,Anuradhapura,Anuradhapura,Horowpothana,2015-10-20,Hakkapatas,Male,5,Juvenile,Intentional
1329,Uva,Ampara,Damana,2015-10-22,Gunshot,Male,30-35,Subadults and adults,Intentional
1330,Eastern,Ampara,Lahugala,2015-10-24,Unknown,Male,25-30,Subadults and adults,Unknown
1331,Polonnaruwa,Polonnaruwa,Dambulla,2015-10-24,Hakkapatas,Male,7-8,Juvenile,Intentional
1332,Eastern,Ampara,Thirukkovil,2015-10-25,Hakkapatas,Male,6-7,Juvenile,Intentional
1333,Eastern,Ampara,Lahugala,2015-10-26,Gunshot,Female,25-30,Subadults and adults,Intentional
1334,Anuradhapura,Anuradhapura,Thirappane,2015-10-28,Gunshot,Male,52-56,Subadults and adults,Intentional
1335,Eastern,Ampara,Mahaoya,2015-10-29,Accident,Female,25-35,Subadults and adults,Unintentional
1336,Polonnaruwa,Polonnaruwa,Thamankaduwa,2015-11-01,Electrocuted,Male,20-25,Subadults and adults,Unintentional
1337,Polonnaruwa,Polonnaruwa,Dimbulagala,2015-11-05,Natural,Male,15,Subadults and adults,Natural
1338,Uva,Monaragala,Wellawaya,2015-11-07,Natural,Female,6,Juvenile,Natural
1339,Southern,Monaragala,Thanamalvila,2015-11-11,Gunshot,Male,45,Subadults and adults,Intentional
1340,Kilinochchi,Mullaitivu,Oddusuddan,2015-11-12,Hakkapatas,Male,25,Subadults and adults,Intentional
1341,Anuradhapura,Anuradhapura,Thirappane,2015-11-13,Electrocuted,Male,35,Subadults and adults,Unintentional
1342,Eastern,Ampara,Lahugala,2015-11-15,Hakkapatas,Female,20-25,Subadults and adults,Intentional
1343,North Western,Puttalam,Karuwalagaswewa,2015-11-16,Electrocuted,Male,Unknown,Unknown,Unintentional
