No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category
1,Southern,Ratnapura,Embilipitiya,2011-01-03,Unknown,Male,3 Months,Infant
2,Southern,Ratnapura,Balangoda,2011-01-04,Unknown,Male,25-30,Subadults and adults
3,North Western,Anuradhapura,Ma: Nu: gampalatha,2011-01-06,Electrocuted,Male,35,Subadults and adults
4,Mahaweli,Polonnaruwa,Welikanda,2011-01-06,Flood,Female,3,Calf
5,Mahaweli,Polonnaruwa,Hinguraggoda,2011-01-08,Flood,Unknown,Unknown,Unknown
6,Southern,Monaragala,Thanamalvila,2011-01-10,Natural,Male,60,Subadults and adults
7,Eastern,Batticaloa,Chencalladi,2011-01-10,Gunshot,Male,30-35,Subadults and adults
8,Mahaweli,Trincomalee,Kuchchaweli,2011-01-12,Unknown,Female,20-22,Subadults and adults
9,Mahaweli,Polonnaruwa,Dimbulagala,2011-01-12,Flood,Male,40-50,Subadults and adults
10,Mahaweli,Polonnaruwa,Dimbulagala,2011-01-12,Gunshot,Male,40,Subadults and adults
11,Mahaweli,Polonnaruwa,Thamankaduwa,2011-01-13,Flood,Female,4,Calf
12,Mahaweli,Polonnaruwa,Dimbulagala,2011-01-13,Unknown,Unknown,Unknown,Unknown
13,North Western,Kurunegala,Ehatuwewa,2011-01-14,Poisned,Female,30,Subadults and adults
14,Mahaweli,Trincomalee,Kanthale,2011-01-14,Flood,Male,4.5,Juvenile
15,North Western,Kurunegala,Polpithigama,2011-01-14,Electrocuted,Male,45,Subadults and adults
16,YalaBundala,Hambantota,Thissamaharama,2011-01-15,Gunshot,Male,20-25,Subadults and adults
17,Mahaweli,Trincomalee,Gomarankadawela,2011-01-16,Gunshot,Male,35,Subadults and adults
18,Southern,Monaragala,Thanamalvila,2011-01-17,Unknown,Male,35,Subadults and adults
19,North Western,Anuradhapura,Horowpothana,2011-01-17,Electrocuted,Unknown,25,Subadults and adults
20,Southern,Hambantota,Hambanthaota,2011-01-24,Electrocuted,Male,12-15,Subadults and adults
21,Eastern,Ampara,Pothuvil,2011-01-28,Gunshot,Male,15-20,Subadults and adults
22,Eastern,Ampara,Lahugala,2011-01-29,Gunshot,Male,25-30,Subadults and adults
23,North Western,Anuradhapura,Galenbindunuwewa,2011-01-29,Poisned,Male,35-40,Subadults and adults
24,Southern,Monaragala,Wellawaya,2011-01-29,Natural,Male,3 Months,Infant
25,YalaBundala,Hambantota,Thissamaharama,2011-01-30,Other,Male,15-20,Subadults and adults
26,Eastern,Batticaloa,Wakare,2011-01-30,Gunshot,Male,20-25,Subadults and adults
27,Eastern,Batticaloa,Wakare,2011-01-30,Gunshot,Female,35-40,Subadults and adults
28,North Western,Anuradhapura,Galenbindunuwewa,2011-01-31,Hakkapatas,Male,15,Subadults and adults
29,Southern,Ratnapura,Embilipitiya,2011-01-31,Unknown,Calf,4,Calf
30,Southern,Ratnapura,Embilipitiya,2011-01-31,Unknown,Unknown,Unknown,Unknown
31,Southern,Ratnapura,Embilipitiya,2011-01-31,Unknown,Unknown,Unknown,Unknown
32,Southern,Ratnapura,Embilipitiya,2011-01-31,Unknown,Unknown,Unknown,Unknown
33,North Western,Anuradhapura,Thirappane,2011-01-31,Gunshot,Female,Unknown,Unknown
34,North Western,Anuradhapura,Thirappane,2011-01-31,Gunshot,Female,Unknown,Unknown
35,Eastern,Ampara,Damana,2011-02-02,Gunshot,Female,3 Months,Infant
36,North Western,Anuradhapura,Ipologama,2011-02-04,Flood,Male,1 Week,Infant
37,North Western,Vavuniya,Wavniya,2011-02-05,Gunshot,Female,30,Subadults and adults
38,Mahaweli,Trincomalee,Gomarankadawela,2011-02-08,Unknown,Male,30-35,Subadults and adults
