No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category
1,Eastern,Ampara,Thirikkovil,2016-01-03,Unknown,Male,20-25,Subadults and adults
2,Eastern,Ampara,Pothuwil,2016-01-06,Unknown,Male,30-35,Subadults and adults
3,Eastern,Batticaloa,Wawunathiw,2016-01-07,Electrocuted,Male,25,Subadults and adults
4,Eastern,Batticaloa,Kiran,2016-01-08,Gunshot,Male,10-15,Unknown
5,Uva,Monaragala,Buttala,2016-01-09,Gunshot,Male,35,Subadults and adults
6,Puttalam,Puttalam,Puttalam,2016-01-10,Injured,Male,35,Subadults and adults
7,Eastern,Ampara,Pothuwil,2016-01-10,Unknown,Male,20-25,Subadults and adults
8,Vavuniya,Vavuniya,vavuniya,2016-01-11,Electrocuted,Male,25-30,Subadults and adults
9,Southern,Monaragala,Thanamalwila,2016-01-11,Gunshot,Male,15,Subadults and adults
10,Eastern,Ampara,Alayadivembu,2016-01-11,Unknown,Female,7,Juvenile
11,Eastern,Batticaloa,Kiran,2016-01-13,Hakkapatas,Male,8,Juvenile
12,Trincomalee,Trincomalee,Kuchchaveli,2016-01-14,Unknown,Unknown,15-20,Subadults and adults
13,Southern,Monaragala,Thanamalwila,2016-01-15,Gunshot,Male,30,Subadults and adults
14,Polonnaruwa,Polonnaruwa,Dimbulagala,2016-01-18,Unknown,Male,35-40,Subadults and adults
15,Eastern,Batticaloa,Pattipalei,2016-01-19,Electrocuted,Male,40-45,Subadults and adults
16,Eastern,Batticaloa,Wawunathiw,2016-01-20,Electrocuted,Male,30,Subadults and adults
17,Central,Badulla,Mahiyangana,2016-01-25,Electrocuted,Male,33,Subadults and adults
18,Eastern,Ampara,Thirikkovil,2016-01-25,Unknown,Male,5-7,Juvenile
19,Eastern,Ampara,Thirikkovil,2016-01-25,Unknown,Female,20-25,Subadults and adults
20,Central,Badulla,Mahiyangana,2016-01-25,Electrocuted,Male,30,Subadults and adults
21,Polonnaruwa,Polonnaruwa,Hingurakgoda,2016-01-25,Other,Male,7.5 Weeks,Unknown
22,Wayamba,Kurunegala,Mahawa,2016-01-29,Electrocuted,Male,8-10,Juvenile
23,Polonnaruwa,Polonnaruwa,Welikanda,2016-01-30,Electrocuted,Male,40-45,Subadults and adults
24,Eastern,Batticaloa,Pattipola,2016-02-01,Electrocuted,Male,25-30,Subadults and adults
25,Eastern,Batticaloa,Kiran,2016-02-01,Gunshot,Male,40-45,Subadults and adults
26,Eastern,Badulla,Mahiyangana,2016-02-01,Body destroyed,Male,20-25,Subadults and adults
27,Eastern,Batticaloa,Pattipola,2016-02-01,Gunshot,Male,25-30,Subadults and adults
28,Wayamba,Kurunegala,Galgamuwa,2016-02-01,Hakkapatas,Male,10-12,Juvenile
29,Eastern,Ampara,Mahaoya,2016-02-02,Unknown,Male,30-35,Subadults and adults
30,Trincomalee,Trincomalee,Serunuwara,2016-02-03,Electrocuted,Male,30-35,Subadults and adults
31,Vavuniya,Mannar,Silawathura,2016-02-03,Gunshot,Female,25-30,Subadults and adults
32,Eastern,Badulla,Mahiyangana,2016-02-04,Gunshot,Male,20-25,Subadults and adults
33,Anuradhapura,Anuradhapura,Horowpathana,2016-02-04,Poisned,Male,55-60,Subadults and adults
34,Southern,Monaragala,Thanamalwila,2016-02-05,Hakkapatas,Male,25-30,Subadults and adults
35,Trincomalee,Trincomalee,Serunuwara,2016-02-06,Unknown,Male,25-30,Subadults and adults
36,Eastern,Batticaloa,Wakare,2016-02-08,Accident,Female,8-10,Juvenile
