No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category
1,Eastern,Ampara,Damana,2013-01-01,Unknown,Male,25,Subadults and adults
2,Anuradhapura,Mullaitivu,Oddusudan,2013-01-04,Hakkapatas,Male,4-6,Juvenile
3,Uva,Monaragala,Wellawaya,2013-01-06,Unknown,Male,35-40,Subadults and adults
4,Eastern,Ampara,Lahugala,2013-01-09,Unknown,Male,15-20,Subadults and adults
5,Polonnaruwa,Trincomalee,Kuchchaveli,2013-01-11,Unknown,Female,5-6,Juvenile
6,Southern,Monaragala,Sevangala,2013-01-13,Gunshot,Male,10-12,Juvenile
7,Anuradhapura,Anuradhapura,Palugaswewa,2013-01-13,Body destroyed,Unknown,Unknown,Unknown
8,Central,Nuwara Eliya,Walapane,2013-01-17,Natural,Male,45,Subadults and adults
9,Southern,Hambantota,Hambanthaota,2013-01-17,Electrocuted,Male,25,Subadults and adults
10,Anuradhapura,Anuradhapura,Madawachchiya,2013-01-18,Gunshot,Male,50-60,Subadults and adults
11,Anuradhapura,Anuradhapura,Thirappane,2013-01-23,Gunshot,Male,35,Subadults and adults
12,Polonnaruwa,Polonnaruwa,Dimbulagala,2013-01-24,Train Accident,Male,35,Subadults and adults
13,Anuradhapura,Vavuniya,Wavniya South,2013-01-24,Poisned,Male,4-6,Juvenile
14,Anuradhapura,Anuradhapura,Palugaswewa,2013-01-25,Electrocuted,Male,40,Subadults and adults
15,Anuradhapura,Anuradhapura,Thirappane,2013-01-25,Gunshot,Male,8,Juvenile
16,Polonnaruwa,Polonnaruwa,Dimbulagala,2013-01-30,Hakkapatas,Male,10-12,Juvenile
17,Polonnaruwa,Trincomalee,Kinniya,2013-02-01,Hakkapatas,Male,10-12,Juvenile
18,Polonnaruwa,Trincomalee,Kanthale,2013-02-02,Body destroyed,Male,20-25,Subadults and adults
19,Uva,Monaragala,Madagama,2013-02-03,Gunshot,Female,10-12,Juvenile
20,Eastern,Monaragala,Madagama,2013-02-03,Severe hemorrhage,Female,12-15,Subadults and adults
21,Southern,Ratnapura,Balangoda,2013-02-03,Unknown,Male,Unknown,Unknown
22,Polonnaruwa,Trincomalee,Kanthale,2013-02-03,Unknown,Male,15,Subadults and adults
23,Anuradhapura,Anuradhapura,Ma nu gampalatha,2013-02-05,Electrocuted,Male,30,Subadults and adults
24,Anuradhapura,Vavuniya,Welioya,2013-02-06,Electrocuted,Female,15,Subadults and adults
25,Polonnaruwa,Trincomalee,Nagara ha Kadawath,2013-02-07,Hakkapatas,Male,8-10,Juvenile
26,Polonnaruwa,Polonnaruwa,Hinguraggoda,2013-02-07,Train Accident,Female,2.5,Calf
27,Anuradhapura,Vavuniya,Wavniya ,2013-02-08,Electrocuted,Male,35,Subadults and adults
28,Polonnaruwa,Trincomalee,serunuwara,2013-02-11,Gunshot,Male,25-30,Subadults and adults
29,Polonnaruwa,Polonnaruwa,Thamankaduwa,2013-02-14,Accident,Female,2-3,Calf
30,Polonnaruwa,Trincomalee,Kanthale,2013-02-14,Natural,Female,35-40,Subadults and adults
31,Polonnaruwa,Polonnaruwa,Dimbulagala,2013-02-15,Gunshot,Male,40-45,Subadults and adults
32,Eastern,Batticaloa,Kiran,2013-02-15,Unknown,Female,25-30,Subadults and adults
33,Central,Kandy,Ududumbara,2013-02-16,Unknown,Male,30,Subadults and adults
34,Eastern,Ampara,Uhana,2013-02-16,Electrocuted,Male,30-35,Subadults and adults
35,Eastern,Ampara,Pothuvill,2013-02-17,Natural,Male,35-40,Subadults and adults
36,North Western,Kurunegala,Nikawartiya,2013-02-22,Gunshot,Male,15-20,Subadults and adults
37,Anuradhapura,Anuradhapura,Palugaswewa,2013-02-22,Electrocuted,Female,35,Subadults and adults
38,Anuradhapura,Anuradhapura,Palugaswewa,2013-02-22,Electrocuted,Male,40,Subadults and adults
39,Eastern,Ampara,Uhana,2013-02-25,Unknown,Unknown,Unknown,Unknown
40,Uva,Monaragala,Kataragama,2013-03-01,Unknown,Unknown,45-50,Subadults and adults
41,Polonnaruwa,Polonnaruwa,Welikanda,2013-03-01,Unknown,Male,4,Calf
42,North Western,Puttalam,Wanathavilluwa,2013-03-07,Unknown,Male,40-45,Subadults and adults
43,Polonnaruwa,Trincomalee,Nagara ha Kadawath,2013-03-09,Hakkapatas,Female,40,Subadults and adults
44,Anuradhapura,Mannar,Nanattan,2013-03-12,Unknown,Unknown,Unknown,Unknown
45,Anuradhapura,Anuradhapura,Thirappane,2013-03-12,Injured,Male,15,Subadults and adults
46,Eastern,Ampara,Thirikkovil,2013-03-14,Natural,Female,6 Months,Infant
47,Anuradhapura,Mannar,Nanattan,2013-03-14,Unknown,Unknown,Unknown,Unknown
48,Polonnaruwa,Trincomalee,Kuchchaveli,2013-03-14,Hakkapatas,Male,25-30,Subadults and adults
49,Polonnaruwa,Trincomalee,Kanthale,2013-03-14,Accident,Male,3-4,Calf
50,Southern,Ratnapura,Weligepola,2013-03-15,Electrocuted,Male,25-40,Subadults and adults
51,Polonnaruwa,Polonnaruwa,Madirigiriya,2013-03-15,Unknown,Male,15-20,Subadults and adults
52,Polonnaruwa,Polonnaruwa,Hinguraggoda,2013-03-16,Hakkapatas,Male,30,Subadults and adults
53,Polonnaruwa,Polonnaruwa,Hinguraggoda,2013-03-16,Hakkapatas,Male,30,Subadults and adults
54,Anuradhapura,Anuradhapura,Kakirawa,2013-03-18,Gunshot,Female,20,Subadults and adults
55,Anuradhapura,Vavuniya,Welioya,2013-03-19,Gunshot,Male,15,Subadults and adults
56,Uva,Monaragala,Kataragama,2013-03-20,Gunshot,Male,40,Subadults and adults
57,Polonnaruwa,Trincomalee,serunuwara,2013-03-20,Other,Female,30,Subadults and adults
58,Uva,Monaragala,Wellawaya,2013-03-20,Electrocuted,Male,30-35,Subadults and adults
59,Eastern,Ampara,Mahiyangana,2013-03-20,Septicemia,Female,35-40,Subadults and adults
60,Polonnaruwa,Trincomalee,Kanthale,2013-03-21,Unknown,Male,30,Subadults and adults
61,Eastern,Monaragala,Madulla,2013-03-21,Septicemia,Female,20-25,Subadults and adults
62,Polonnaruwa,Polonnaruwa,Welkanda,2013-03-22,Unknown,Female,35-40,Subadults and adults
63,Uva,Monaragala,Madulla,2013-03-22,Gunshot,Female,12-20,Subadults and adults
64,Anuradhapura,Anuradhapura,Ipologama,2013-03-23,Poisned,Female,15,Subadults and adults
