No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category
1,Polonnaruwa,Polonnaruwa,Dimbulagala,2017-01-01,Gunshot,Male,35-40,Subadults and adults
2,Uva,Monaragala,Kataragama,2017-01-01,Unknown,Male,30-35,Subadults and adults
3,Uva,Monaragala,Madulla,2017-01-01,Unknown,Unknown,Unknown,Unknown
4,Uva,Monaragala,Madulla,2017-01-01,Unknown,Unknown,7 Months,Infant
5,Uva,Ampara,Damana,2017-01-01,Unknown,Unknown,7 Months,Infant
6,Eastern,Batticaloa,Addalachchena,2017-01-04,Eaten polythene,Male,30-35,Subadults and adults
7,Polonnaruwa,Polonnaruwa,Welikanda,2017-01-05,Unknown,Male,8-10,Juvenile
8,Uva,Monaragala,Bibila,2017-01-09,Gunshot,Male,21,Subadults and adults
9,Eastern,Ampara,Thirikkovil,2017-01-10,Hakkapatas,Female,5-6,Juvenile
10,Eastern,Ampara,Thirikkovil,2017-01-11,Body destroyed,Female,20-25,Subadults and adults
11,Eastern,Batticaloa,Wakare,2017-01-12,Gunshot,Female,22-25,Subadults and adults
12,Anuradhapura,Anuradhapura,Horowpathana,2017-01-15,Hakkapatas,Male,8-10,Juvenile
13,Polonnaruwa,Anuradhapura,Palugaswewa,2017-01-22,Gunshot,Female,4,Calf
14,Eastern,Ampara,Mahaoya,2017-01-28,Gunshot,Female,35,Subadults and adults
15,Anuradhapura,Anuradhapura,Nochchiyagama,2017-01-29,Gunshot,Female,15-18,Subadults and adults
16,Wayamba,Kurunegala,Polpithigama,2017-01-30,Electrocuted,Male,30-35,Subadults and adults
17,Eastern,Ampara,Pothuwil,2017-01-30,Other,Male,10-12,Juvenile
18,Elephant Transit Home,Ratnapura,Unknown,2017-01-31,Natural,Female,Unknown,Unknown
19,Eastern,Ampara,Alayadivembu,2017-01-31,Hakkapatas,Male,10-12,Juvenile
20,Elephant Transit Home,Ratnapura,Unknown,2017-01-31,Natural,Male,Unknown,Unknown
21,Eastern,Ampara,Mahaoya,2017-02-01,Gunshot,Male,25,Subadults and adults
22,Eastern,Batticaloa,Pattipola,2017-02-01,Electrocuted,Male,30-35,Subadults and adults
