No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category
23,Eastern,Polonnaruwa,Dimbulagala,2017-02-01,Falling of a mountain,Male,20,Subadults and adults
24,Polonnaruwa,Polonnaruwa,Dimbulagala,2017-02-02,Gunshot,Male,30-35,Subadults and adults
25,Anuradhapura,Anuradhapura,Madavachchiya,2017-02-05,Poisned,Female,35-40,Subadults and adults
26,Uva,Hambantota,Thissamaharamaya,2017-02-06,Unknown,Male,25-35,Subadults and adults
27,Anuradhapura,Anuradhapura,Kahatagasdigiliya,2017-02-07,Electrocuted,Male,18-20,Subadults and adults
28,Vavuniya,Vavuniya,Nedunkanar,2017-02-10,Gunshot,Male,30-35,Subadults and adults
29,Vavuniya,Mannar,Adampan,2017-02-11,Gunshot,Male,7-8,Juvenile
30,Eastern,Ampara,Thirikkovil,2017-02-11,Hakkapatas,Male,5-6,Juvenile
31,Uva,Hambantota,Thissamaharamaya,2017-02-12,Unknown,Male,25-35,Subadults and adults
32,Puttalam,Puttalam,Wanathawilluwa,2017-02-12,Train Accident,Male,35,Subadults and adults
33,Polonnaruwa,Polonnaruwa,Dimbulagala,2017-02-14,Hakkapatas,Male,25,Subadults and adults
34,Uva,Monaragala,Wellawaya,2017-02-17,Injured,Female,25,Subadults and adults
35,Southern,Hambantota,Hambantota,2017-02-19,Unknown,Unknown,16-18,Subadults and adults
36,Anuradhapura,Anuradhapura,Kabithigollawa,2017-02-19,Electrocuted,Male,16-18,Subadults and adults
37,Trincomalee,Trincomalee,Gomarankadawala,2017-02-20,Hakkapatas,Female,10-15,Unknown
38,Eastern,Batticaloa,Kiran,2017-02-20,Hakkapatas,Male,10-12,Juvenile
39,Anuradhapura,Anuradhapura,Palugaswewa,2017-02-22,Electrocuted,Male,29-30,Subadults and adults
40,Polonnaruwa,Polonnaruwa,Dimbulagala,2017-02-24,Eaten polythene,Male,25-30,Subadults and adults
41,Southern,Monaragala,Thanamalwila,2017-02-27,Gunshot,Female,20-22,Subadults and adults
42,Eastern,Batticaloa,Chenkaladi,2017-02-28,Other,Female,30-35,Subadults and adults
43,Eastern,Ampara,Addalachchena,2017-03-02,Electrocuted,Male,20,Subadults and adults
44,Eastern,Ampara,Thirikkovil,2017-03-03,Hakkapatas,Female,30,Subadults and adults
45,Anuradhapura,Anuradhapura,Thalawa,2017-03-03,Electrocuted,Female,18-20,Subadults and adults
46,Southern,Monaragala,Thanamalwila,2017-03-03,Unknown,Unknown,20-30,Subadults and adults
47,Eastern,Ampara,Damana,2017-03-03,Hakkapatas,Male,15-18,Subadults and adults
48,Polonnaruwa,Polonnaruwa,Tamankaduwa,2017-03-04,Unknown,Unknown,unknown,Unknown
49,Vavuniya,Vavuniya,Nadunkanari,2017-03-06,Train Accident,Female,12-17,Subadults and adults
50,Wayamba,Kurunegala,Ambanpola,2017-03-10,Gunshot,Male,13,Subadults and adults
51,Anuradhapura,Anuradhapura,Vilachchiya,2017-03-10,Gunshot,Male,15,Subadults and adults
52,Eastern,Monaragala,Siyabalanduwa,2017-03-11,Poisned,Male,18-20,Subadults and adults
53,Eastern,Ampara,Samanthurai,2017-03-19,Natural,Male,7 Days,Infant
54,Uva,Monaragala,Wellawaya,2017-03-19,Unknown,Male,15,Subadults and adults
55,Central,Badulla,Mahiyangana,2017-03-20,Gunshot,Male,28 - 30,Subadults and adults
56,Puttalam,Puttalam,Navagattegama,2017-03-20,Hakkapatas,Female,unknown,Unknown
57,Kilinochchi,Mullaitivu,Welioya,2017-03-21,Unknown,Male,15,Subadults and adults
58,Anuradhapura,Anuradhapura,Tirappane,2017-03-21,Hakkapatas,Male,5,Juvenile
59,Puttalam,Puttalam,Puttalam,2017-03-22,Injured,Male,25-30,Subadults and adults
60,Trincomalee,Trincomalee,Kanthale,2017-03-29,Unknown,Unknown,15,Subadults and adults
61,Trincomalee,Trincomalee,Kanthale,2017-03-29,Unknown,Unknown,15,Subadults and adults
62,Southern,Monaragala,Thanamalwila,2017-03-29,Electrocuted,Male,10,Juvenile
63,Uva,Monaragala,Wellawaya,2017-04-01,Unknown,Male,40,Subadults and adults
64,Trincomalee,Trincomalee,Gomarankadawala,2017-04-01,Unknown,Female,35,Subadults and adults
65,Polonnaruwa,Polonnaruwa,Welikanda,2017-04-03,Injured,Female,1 Month,Infant
66,Eastern,Ampara,Thirikkovil,2017-04-03,Hakkapatas,Female,15,Subadults and adults
67,Vavuniya,Vavuniya,Nadunkanari,2017-04-03,Train Accident,Female,8-10,Juvenile
68,Eastern,Badulla,Mahiyangana,2017-04-04,Unknown,Male,20 - 25,Subadults and adults
69,Wayamba,Kurunegala,Galgamuwa,2017-04-08,Gunshot,Male,35-40,Subadults and adults
70,Uva,Badulla,Haldhummulla,2017-04-09,Unknown,Male,7,Juvenile
71,Central,Badulla,Mahiyangana,2017-04-10,Other,Male,8 - 10,Juvenile
72,Kilinochchi,Mullaitivu,Welioya,2017-04-12,Gunshot,Female,35-40,Subadults and adults
73,Southern,Hambantota,Hambantota,2017-04-12,Unknown,Male,30-35,Subadults and adults
74,Central,Badulla,Kandakatiya,2017-04-14,Unknown,Unknown,20 - 25,Subadults and adults
75,Trincomalee,Trincomalee,Kanthale,2017-04-15,Unknown,Male,30-35,Subadults and adults
76,Vavuniya,Vavuniya,vavuniya,2017-04-17,Gunshot,Female,15-20,Subadults and adults
77,Eastern,Ampara,Pothuwil,2017-04-18,Unknown,Male,3-4,Calf
78,Trincomalee,Trincomalee,Mutur,2017-04-20,Hakkapatas,Male,1 Month,Infant
79,Polonnaruwa,Polonnaruwa,Dimbulagala,2017-04-22,Electrocuted,Male,35-40,Subadults and adults
80,Puttalam,Puttalam,Puttalam,2017-04-24,Attack by an elephant,Male,30-35,Subadults and adults
81,Polonnaruwa,Polonnaruwa,Dimbulagala,2017-04-25,Hakkapatas,Male,1,Calf
82,Anuradhapura,Anuradhapura,Horowpathana,2017-04-26,Gunshot,Female,30,Subadults and adults
83,Eastern,Monaragala,Siyabalanduwa,2017-04-27,Hakkapatas,Female,10,Juvenile
84,Anuradhapura,Anuradhapura,Horowpathana,2017-04-27,Attack by an elephant,Male,1 Week,Infant
85,Uva,Monaragala,Madulla,2017-04-28,Gunshot,Male,25,Subadults and adults
86,Trincomalee,Trincomalee,Seruvila,2017-04-28,Unknown,Female,40 - 45,Subadults and adults
87,Eastern,Ampara,Thirikkovil,2017-04-28,Unknown,Male,15-20,Subadults and adults
88,Anuradhapura,Anuradhapura,Horowpathana,2017-05-01,Unknown,Male,35-40,Subadults and adults
89,Polonnaruwa,Polonnaruwa,Dimbulagala,2017-05-01,Unknown,Male,30,Subadults and adults
90,Wayamba,Anuradhapura,Kakirawa,2017-05-02,Attack by an elephant,Male,25-30,Subadults and adults
91,Polonnaruwa,Matale,Naula,2017-05-05,Unknown,Unknown,35-40,Subadults and adults
92,Anuradhapura,Anuradhapura,M.N.P,2017-05-07,Electrocuted,Male,25-30,Subadults and adults
93,Polonnaruwa,Polonnaruwa,Hingurakgoda,2017-05-11,Accident,Female,8-10,Juvenile
94,Eastern,Ampara,Mahaoya,2017-05-12,Hakkapatas,Male,6,Juvenile
95,Polonnaruwa,Polonnaruwa,Welikanda,2017-05-14,Hakkapatas,Male,15-20,Subadults and adults
96,Polonnaruwa,Matale,Vilgamuwa,2017-05-15,Unknown,Female,20 - 25,Subadults and adults
97,Eastern,Batticaloa,Chenkaladi,2017-05-15,Gunshot,Male,14 - 20,Subadults and adults
98,Eastern,Ampara,Lahugala,2017-05-15,Hakkapatas,Female,30-35,Subadults and adults
99,Polonnaruwa,Polonnaruwa,Madirigiriya,2017-05-16,Disease,Male,20,Subadults and adults
100,Trincomalee,Trincomalee,Kuchchaveli,2017-05-16,Unknown,Unknown,6.5 Weeks,Unknown
101,Anuradhapura,Anuradhapura,M.N.P,2017-05-17,Electrocuted,Male,30,Subadults and adults
102,Anuradhapura,Anuradhapura,M.N.P,2017-05-17,Electrocuted,Female,16-18,Subadults and adults
103,Trincomalee,Trincomalee,Morawewa,2017-05-20,Hakkapatas,Female,18 - 22,Subadults and adults
104,Polonnaruwa,Polonnaruwa,Hingurakgoda,2017-05-20,Attack by an elephant,Male,50,Subadults and adults
105,Trincomalee,Trincomalee,Gomarankadawala,2017-05-23,Hakkapatas,Female,25,Subadults and adults
106,Polonnaruwa,Polonnaruwa,Tamankaduwa,2017-05-23,Eaten polythene,Male,35-40,Subadults and adults
107,Polonnaruwa,Polonnaruwa,Dimbulagala,2017-05-24,Hakkapatas,Male,25,Subadults and adults
108,Trincomalee,Trincomalee,Gomarankadawala,2017-05-25,Gunshot,Male,10,Juvenile
109,Eastern,Ampara,Thirikkovil,2017-05-25,Electrocuted,Male,25-30,Subadults and adults
110,Vavuniya,Mannar,Madu,2017-05-26,Gunshot,Male,30-35,Subadults and adults
111,Anuradhapura,Anuradhapura,Thalawa,2017-05-28,Gunshot,Female,17 - 18,Subadults and adults
112,Polonnaruwa,Polonnaruwa,Hingurakgoda,2017-05-29,Gunshot,Female,20 - 25,Subadults and adults
113,Polonnaruwa,Polonnaruwa,Hingurakgoda,2017-05-29,Accident,Male,2-2.5,Calf
114,Eastern,Ampara,Mahaoya,2017-06-01,Other,Unknown,5-15,Juvenile
115,Wayamba,Kurunegala,Galgamuwa,2017-06-09,Train Accident,Female,1 Month,Infant
116,Anuradhapura,Anuradhapura,Tirappane,2017-06-10,Fallen into well,Unknown,8,Juvenile
117,Uva,Monaragala,Monaragala,2017-06-11,Poisned,Female,10-15,Unknown
118,Trincomalee,Polonnaruwa,Hingurakgoda,2017-06-12,Accident,Male,5-6,Juvenile
119,Eastern,Batticaloa,Chenkaladi,2017-06-13,Hakkapatas,Male,6-7,Juvenile
120,Polonnaruwa,Matale,Vilgamuwa,2017-06-14,Unknown,Male,15-20,Subadults and adults
121,Uva,Hambantota,Thissamaharamaya,2017-06-14,Attack by an elephant,Male,50-55,Subadults and adults
122,Eastern,Ampara,Lahugala,2017-06-15,Hakkapatas,Male,6-7,Juvenile
123,Eastern,Ampara,Thirikkovil,2017-06-18,Gunshot,Female,15-20,Subadults and adults
124,Polonnaruwa,Matale,Dambulla,2017-06-20,Hakkapatas,Male,5-6,Juvenile
125,Polonnaruwa,Matale,Dambulla,2017-06-23,Electrocuted,Male,15-20,Subadults and adults
126,Polonnaruwa,Polonnaruwa,Madirigiriya,2017-06-23,Unknown,Male,2-3,Calf
127,Southern,Monaragala,Thanamalwila,2017-06-25,Fallen into well,Male,35 - 40 ,Subadults and adults
128,Eastern,Ampara,Mahaoya,2017-06-25,Hakkapatas,Male,15-20,Subadults and adults
129,Elephant Transit Home,Ratnapura,Unknown,2017-06-28,Natural,Male,Unknown,Unknown
130,Vavuniya,Vavuniya,vavuniya,2017-06-28,Hakkapatas,Female,12-15,Subadults and adults
131,Wayamba,Kurunegala,Kotavehera,2017-07-02,Hakkapatas,Male,4.5,Juvenile
132,Southern,Hambantota,Hambantota,2017-07-10,Unknown,Unknown,Unknown,Unknown
133,Anuradhapura,Puttalam,Wanathawilluwa,2017-07-12,At born,Female,20-25,Subadults and adults
134,Eastern,Badulla,Mahiyangana,2017-07-13,Gunshot,Male,25,Subadults and adults
135,Eastern,Ampara,Thirikkovil,2017-07-15,Septicemia,Female,20-25,Subadults and adults
136,Puttalam,Puttalam,Wanathawilluwa,2017-07-16,Fallen into well,Male,35,Subadults and adults
137,Polonnaruwa,Polonnaruwa,Madirigiriya,2017-07-20,Gunshot,Female,25,Subadults and adults
138,Puttalam,Puttalam,Karuwalgaswewa,2017-07-23,Gunshot,Female,35,Subadults and adults
139,Anuradhapura,Anuradhapura,Kabithigollawa,2017-07-25,Unknown,Male,5-7,Juvenile
140,Polonnaruwa,Polonnaruwa,Dimbulagala,2017-07-28,Drowned,Male,20-25,Subadults and adults
141,Eastern,Ampara,Thirikkovil,2017-07-28,Gunshot,Female,20-25,Subadults and adults
142,Polonnaruwa,Polonnaruwa,Madirigiriya,2017-07-28,Natural,Male,15,Subadults and adults
143,Southern,Ratnapura,Balangoda,2017-08-02,Falling of a mountain,Male,55,Subadults and adults
144,Eastern,Ampara,Dehiaththakandiya,2017-08-02,Poisned,Male,45,Subadults and adults
145,Anuradhapura,Anuradhapura,Horowpathana,2017-08-02,Fallen into well,Unknown,1,Calf
146,Southern,Monaragala,Thanamalwila,2017-08-04,Gunshot,Male,50-60,Subadults and adults
147,Anuradhapura,Anuradhapura,Horowpathana,2017-08-05,Hakkapatas,Male,5,Juvenile
148,Uva,Monaragala,Siyabalanduwa,2017-08-06,Unknown,Male,3 Months,Infant
149,Polonnaruwa,Polonnaruwa,Welikanda,2017-08-07,Unknown,Unknown,unknown,Unknown
150,Uva,Hambantota,Thissamaharamaya,2017-08-11,Hakkapatas,Female,2.5,Calf
151,Eastern,Ampara,Pothuwil,2017-08-15,Disease,Female,12.15,Unknown
152,Trincomalee,Trincomalee,Gomarankadawala,2017-08-15,Hakkapatas,Male,3,Calf
153,Southern,Monaragala,Thanamalwila,2017-08-16,Fallen into well,Unknown,20.5,Subadults and adults
154,Vavuniya,Mannar,Madu,2017-08-16,Gunshot,Female,10,Juvenile
155,Puttalam,Puttalam,Wanathawilluwa,2017-08-17,Electrocuted,Male,20-25,Subadults and adults
156,Uva,Monaragala,Madulla,2017-08-17,Poisned,Male,30,Subadults and adults
157,Vavuniya,Vavuniya,vavuniya,2017-08-18,Hakkapatas,Female,4-5,Juvenile
158,Eastern,Ampara,Dehiaththakandiya,2017-08-23,Disease,Male,12,Juvenile
159,Trincomalee,Trincomalee,Kuchchaveli,2017-08-23,Hakkapatas,Female,10-12,Juvenile
160,Polonnaruwa,Polonnaruwa,Dimbulagala,2017-08-25,Injured,Male,35,Subadults and adults
161,Vavuniya,Vavuniya,Nadunkanari,2017-08-25,Hakkapatas,Male,4-5,Juvenile
162,Eastern,Badulla,Mahiyangana,2017-08-28,Gunshot,Male,20,Subadults and adults
163,Elephant Transit Home,Ratnapura,Unknown,2017-08-30,Natural,Female,Unknown,Unknown
164,Eastern,Batticaloa,Chenkaladi,2017-08-30,Gunshot,Male,30,Subadults and adults
165,Puttalam,Puttalam,Mahakubukkadawala,2017-09-01,Poisned,Male,30,Subadults and adults
166,Puttalam,Puttalam,Navagattegama,2017-09-03,Natural,Female,60,Subadults and adults
167,Eastern,Badulla,Mahiyangana,2017-09-04,Gunshot,Male,25,Subadults and adults
168,Vavuniya,Vavuniya,Settikulama,2017-09-04,Poisned,Unknown,5-6,Juvenile
169,Trincomalee,Trincomalee,Morawewa,2017-09-05,Hakkapatas,Female,20-25,Subadults and adults
170,Uva,Monaragala,Madulla,2017-09-06,Unknown,Male,1.5,Calf
171,Eastern,Batticaloa,Wakare,2017-09-07,Electrocuted,Female,25,Subadults and adults
172,Eastern,Monaragala,Siyabalanduwa,2017-09-08,Unknown,Male,3.5,Calf
173,Polonnaruwa,Polonnaruwa,Siripura,2017-09-11,Injured,Male,22-25,Subadults and adults
174,Eastern,Batticaloa,Chankaladi,2017-09-12,Injured,Female,30,Subadults and adults
175,Eastern,Ampara,Samanthurai,2017-09-16,Unknown,Male,12,Juvenile
176,Wayamba,Anuradhapura,Palagala,2017-09-16,Gunshot,Male,30,Subadults and adults
177,Polonnaruwa,Polonnaruwa,Alahara,2017-09-16,Electrocuted,Male,25-30,Subadults and adults
178,Southern,Hambantota,Hambantota,2017-09-17,Gunshot,Male,unknown,Unknown
179,Polonnaruwa,Polonnaruwa,Alahara,2017-09-20,Hakkapatas,Male,35,Subadults and adults
180,Wayamba,Anuradhapura,Galgamuwa,2017-09-24,Unknown,Calf,5,Juvenile
181,Eastern,Batticaloa,Chankaladi,2017-09-28,Fallen into well,Male,4 Months,Infant
182,Puttalam,Puttalam,Karuwalgaswewa,2017-09-30,Accident,Female,6,Juvenile
183,Puttalam,Puttalam,Navagattegama,2017-09-30,At born,Calf,unknown,Unknown
184,Elephant Transit Home,Ratnapura,Unknown,2017-09-30,Natural,Female,Unknown,Unknown
185,Southern,Hambantota,Suriyawewa,2017-10-01,Unknown,Male,unknown,Unknown
186,Wayamba,Kurunegala,Giribawa,2017-10-02,Gunshot,Male,24,Subadults and adults
187,Uva,Monaragala,Buttala,2017-10-03,Unknown,Male,20,Subadults and adults
188,Puttalam,Puttalam,Mahakubukkadawala,2017-10-04,Fallen into well,Unknown,unknown,Unknown
189,Polonnaruwa,Polonnaruwa,Tamankaduwa,2017-10-05,Gunshot,Male,15,Subadults and adults
190,Uva,Monaragala,Bibila,2017-10-10,Other,Male,35,Subadults and adults
191,Uva,Monaragala,Madulla,2017-10-10,Unknown,Male,40,Subadults and adults
192,Southern,Ratnapura,Ambilipitiya,2017-10-13,Drowned,Male,50,Subadults and adults
193,Eastern,Ampara,Damana,2017-10-14,Hakkapatas,Female,30-40,Subadults and adults
194,Polonnaruwa,Polonnaruwa,Dimbulagala,2017-10-14,Hakkapatas,Male,15,Subadults and adults
195,Southern,Monaragala,Thanamalwila,2017-10-14,Gunshot,Male,50,Subadults and adults
196,Polonnaruwa,Polonnaruwa,Dimbulagala,2017-10-15,Hakkapatas,Male,30-35,Subadults and adults
197,Anuradhapura,Anuradhapura,Horowpathana,2017-10-15,Hakkapatas,Male,10-12,Juvenile
198,Trincomalee,Trincomalee,Serunuwara,2017-10-15,Unknown,Unknown,Unknown,Unknown
199,Polonnaruwa,Polonnaruwa,Madirigiriya,2017-10-15,Gunshot,Male,12-14,Subadults and adults
200,Puttalam,Puttalam,Wanathawilluwa,2017-10-19,Gunshot,Female,18-20,Subadults and adults
201,Eastern,Ampara,Mahaoya,2017-10-21,Hakkapatas,Male,4,Calf
202,Uva,Monaragala,Siyabalanduwa,2017-10-21,Hakkapatas,Male,Unknown,Unknown
203,Vavuniya,Mannar,Musali,2017-10-21,Hakkapatas,Male,8-10,Juvenile
204,Eastern,Badulla,Mahiyangana,2017-10-24,Gunshot,Male,25-30,Subadults and adults
205,Anuradhapura,Anuradhapura,Kabithigollawa,2017-10-25,Gunshot,Male,10,Juvenile
206,Vavuniya,Mannar,Madu,2017-10-27,Electrocuted,Female,Unknown,Unknown
207,Polonnaruwa,Polonnaruwa,Dehiaththakandiya,2017-10-29,Broken the Spinal,Female,25-30,Subadults and adults
208,Elephant Transit Home,Ratnapura,Unknown,2017-10-30,Natural,Male,Unknown,Unknown
209,Wayamba,Kurunegala,Ahatuwewa,2017-10-30,Gunshot,Female,20-25,Subadults and adults
210,Trincomalee,Trincomalee,Nagara Ha Kadavatha,2017-11-01,Gunshot,Male,30-35,Subadults and adults
211,Eastern,Ampara,Thirikkovil,2017-11-02,Gunshot,Female,20-25,Subadults and adults
212,Wayamba,Kurunegala,Giribawa,2017-11-02,Gunshot,Male,20,Subadults and adults
213,Polonnaruwa,Polonnaruwa,Welikanda,2017-11-02,Train Accident,Male,35-40,Subadults and adults
214,Anuradhapura,Anuradhapura,Madavachchiya,2017-11-03,Hakkapatas,Female,5-6,Juvenile
215,Wayamba,Kurunegala,Polpithigama,2017-11-10,Gunshot,Male,40-50,Subadults and adults
216,Kilinochchi,Kilinochchi,Mankulama,2017-11-11,Train Accident,Male,15-20,Subadults and adults
217,Trincomalee,Trincomalee,Kuchchaveli,2017-11-13,Electrocuted,Male,30,Subadults and adults
218,Eastern,Badulla,Mahiyangana,2017-11-13,Body destroyed,Male,30-35,Subadults and adults
219,Uva,Monaragala,Wellawaya,2017-11-15,Electrocuted,Male,18,Subadults and adults
220,Wayamba,Kurunegala,Mahawa,2017-11-16,Electrocuted,Male,30,Subadults and adults
221,Anuradhapura,Anuradhapura,Mahawilachchiya,2017-11-18,Fallen into well,Male,12-15,Subadults and adults
222,Polonnaruwa,Polonnaruwa,Welikanda,2017-11-18,Hakkapatas,Female,31-35,Subadults and adults
223,Polonnaruwa,Polonnaruwa,Dimbulagala,2017-11-19,Injured,Male,30-35,Subadults and adults
224,Trincomalee,Trincomalee,Kanthale,2017-11-19,Electrocuted,Male,35-40,Subadults and adults
225,Trincomalee,Trincomalee,Gomarankadawala,2017-11-23,Hakkapatas,Male,15-18,Subadults and adults
226,Uva,Monaragala,Wellawaya,2017-11-27,Injured,Male,25,Subadults and adults
227,Puttalam,Puttalam,Karuwalgaswewa,2017-11-29,Gunshot,Male,18,Subadults and adults
228,Polonnaruwa,Polonnaruwa,Dimbulagala,2017-12-01,Fallen into well,Male,5-6,Juvenile
229,Uva,Monaragala,Wellawaya,2017-12-02,Injured,Male,40-45,Subadults and adults
230,Anuradhapura,Anuradhapura,Tirappane,2017-12-08,Electrocuted,Male,20,Subadults and adults
231,Puttalam,Puttalam,Puttalam,2017-12-09,Gunshot,Male,30-35,Subadults and adults
232,Puttalam,Puttalam,Navagattegama,2017-12-09,Gunshot,Male,40,Subadults and adults
233,Eastern,Batticaloa,Chenkaladi,2017-12-09,Hakkapatas,Female,17,Subadults and adults
234,Anuradhapura,Anuradhapura,Tirappane,2017-12-11,Gunshot,Female,20,Subadults and adults
235,Eastern,Ampara,Pothuwil,2017-12-12,Hakkapatas,Male,30-35,Subadults and adults
236,Polonnaruwa,Polonnaruwa,Welikanda,2017-12-14,Electrocuted,Male,25,Subadults and adults
237,Puttalam,Puttalam,Karuwalgaswewa,2017-12-14,Injured,Female,25-30,Subadults and adults
238,Wayamba,Kurunegala,Ahatuwewa,2017-12-14,Attack by an elephant,Male,Unknown,Unknown
239,Polonnaruwa,Polonnaruwa,Dimbulagala,2017-12-15,Body destroyed,Male,4,Calf
240,Polonnaruwa,Polonnaruwa,Madirigiriya,2017-12-16,Gunshot,Male,20-25,Subadults and adults
241,Polonnaruwa,Polonnaruwa,Welikanda,2017-12-19,Other,Male,30,Subadults and adults
242,Anuradhapura,Anuradhapura,Galenbindunuwewa,2017-12-19,Hakkapatas,Female,12,Juvenile
243,Kilinochchi,Mullaitivu,Welioya,2017-12-20,Hakkapatas,Male,10,Juvenile
244,Trincomalee,Trincomalee,Kuchchaveli,2017-12-23,Unknown,Unknown,15-20,Subadults and adults
245,Polonnaruwa,Polonnaruwa,Welikanda,2017-12-24,Train Accident,Male,30-35,Subadults and adults
246,Eastern,Badulla,Mahiyangana,2017-12-24,Hakkapatas,Male,10,Juvenile
247,Eastern,Ampara,Dehiaththakandiya,2017-12-24,Disease,Male,24-25,Subadults and adults
248,Anuradhapura,Anuradhapura,Rambawa,2017-12-25,Hakkapatas,Male,2.5,Calf
249,Southern,Hambantota,Hambantota,2017-12-27,Disease,Female,25,Subadults and adults
250,Wayamba,Kurunegala,Giribawa,2017-12-27,Hakkapatas,Female,2,Calf
251,Eastern,Ampara,Addalachchena,2017-12-28,Eaten polythene,Male,12-15,Subadults and adults
252,Elephant Transit Home,Ratnapura,Unknown,2017-12-28,Natural,Female,Unknown,Unknown
253,Southern,Ratnapura,Weligepola,2017-12-28,Body destroyed,Male,25,Subadults and adults
254,Anuradhapura,Anuradhapura,Kabithigollawa,2017-12-28,Body destroyed,Female,20,Subadults and adults
255,Trincomalee,Trincomalee,Kanthale,2017-12-29,Electrocuted,Unknown,25-30,Subadults and adults
256,Central,Badulla,Mahiyangana,2017-12-31,Hakkapatas,Male,Unknown,Unknown
