No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category
1,North Western,Anuradhapura,Kabithigollawe,2012-01-01,Poisned,Male,35,Subadults and adults
2,Uva,Monaragala,Wallawaya,2012-01-01,Unknown,Unknown,20,Subadults and adults
3,Uva,Monaragala,wellawaya,2012-01-01,Unknown,Male,Unknown,Unknown
4,Central,Nuwara Eliya,Walapane,2012-01-01,Unknown,Unknown,Unknown,Unknown
5,North Western,Kurunegala,Galgamuwa,2012-01-02,Unknown,Unknown,Unknown,Unknown
6,North Western,Mullaitivu,Oddusudan,2012-01-07,Hakkapatas,Female,4 - 5,Juvenile
7,Polonnaruwa,Polonnaruwa,Dimbulagala,2012-01-07,Unknown,Female,40 - 50,Subadults and adults
8,North Western,Anuradhapura,Kakirawa,2012-01-08,Hakkapatas,Unknown,05,Juvenile
9,North Western,Puttalam,Nawagaththegama,2012-01-09,Gunshot,Male,Unknown,Unknown
10,North Western,Anuradhapura,Ma.Nu. Gampalatha,2012-01-10,Gunshot,Male,25 - 30,Subadults and adults
11,North Western,Vavuniya,Wavniya North,2012-01-11,Electrocuted,Male,20 - 25,Subadults and adults
12,North Western,Puttalam,Karuwalagaswewa,2012-01-11,Gunshot,Male,Unknown,Unknown
13,Polonnaruwa,Trincomalee,Kanthale,2012-01-12,Unknown,Female,4 - 5,Juvenile
14,Southern,Monaragala,Wellawaya,2012-01-12,Gunshot,Female,25,Subadults and adults
15,North Western,Kurunegala,Polpithigama,2012-01-15,Gunshot,Male,35,Subadults and adults
16,Polonnaruwa,Trincomalee,Serunuwara,2012-01-20,Gunshot,Female,7.5 - 8,Juvenile
17,Southern,Ratnapura,Abilipitiya,2012-01-26,Other,Female,2.5,Calf
18,North Western,Vavuniya,Wavniya Southern,2012-01-27,Electrocuted,Male,20 - 25,Subadults and adults
19,North Western,Puttalam,Karuwalagaswewa,2012-01-29,Hakkapatas,Male,Unknown,Unknown
20,Southern,Ratnapura,Embilipitiya,2012-01-31,Natural,Female,Unknown,Unknown
21,North Western,Kurunegala,Giribawa,2012-02-02,Gunshot,Female,Unknown,Unknown
22,Polonnaruwa,Batticaloa,Korelepattu North,2012-02-06,Hakkapatas,Female,20,Subadults and adults
23,Southern,Monaragala,Wellawaya,2012-02-06,Unknown,Male,35,Subadults and adults
24,Eastern,Ampara,Damana,2012-02-06,Other,Calf,7 Months,Infant
25,Polonnaruwa,Polonnaruwa,Hinguraggoda,2012-02-09,Train Accident,Female,20,Subadults and adults
26,Polonnaruwa,Polonnaruwa,Welikanda,2012-02-10,Unknown,Female,6.5 Months,Infant
27,Eastern,Ampara,Lahugala,2012-02-11,Unknown,Female,25 - 30,Subadults and adults
28,North Western,Puttalam,Karuwalagaswewa,2012-02-13,Accident,Female,20,Subadults and adults
29,Polonnaruwa,Trincomalee,Nagara  ha Kadawath,2012-02-15,Gunshot,Male,35,Subadults and adults
30,Southern,Monaragala,Thanamalvila,2012-02-15,Unknown,Female,45,Subadults and adults
31,North Western,Mannar,Musali,2012-02-16,Gunshot,Male,Unknown,Unknown
32,North Western,Anuradhapura,Villachchiya,2012-02-17,Poisned,Female,35,Subadults and adults
33,Polonnaruwa,Trincomalee,Morawewa,2012-02-18,Gunshot,Female,18 - 20,Subadults and adults
34,Polonnaruwa,Trincomalee,Kanthale,2012-02-18,Hakkapatas,Male,06,Juvenile
35,Polonnaruwa,Polonnaruwa,Dimbulagala,2012-02-18,Electrocuted,Male,40 - 45,Subadults and adults
36,Eastern,Ampara,Ampara,2012-02-18,Other,Calf,1.5 Months,Infant
37,North Western,Kurunegala,Ahatuwewa,2012-02-19,Land mine,Female,35 - 40,Subadults and adults
38,North Western,Vavuniya,Oddusudan,2012-02-21,Land mine,Female,15 - 18,Subadults and adults
39,Polonnaruwa,Anuradhapura,Palugaswewa,2012-02-23,Train Accident,Male,20 - 25,Subadults and adults
40,YalaBundala,Hambantota,Lunugamwehera,2012-02-23,Gunshot,Male,25 - 30,Subadults and adults
41,North Western,Mannar,Nanattan,2012-02-24,Gunshot,Female,20,Subadults and adults
42,Polonnaruwa,Trincomalee,Morawewa,2012-02-25,Hakkapatas,Male,04 - 05,Juvenile
43,Polonnaruwa,Ampara,Dehiaththakandiya,2012-02-25,Gunshot,Male,40,Subadults and adults
44,Eastern,Batticaloa,Wellaweli,2012-02-26,Poisned,Male,25 - 30,Subadults and adults
45,Eastern,Ampara,Lahugala,2012-02-27,Unknown,Female,20 - 30,Subadults and adults
46,Eastern,Ampara,Ampara,2012-02-28,Other,Male,2 - 2.5,Calf
47,Southern,Ratnapura,Embilipitiya,2012-02-28,Natural,Male,Unknown,Unknown
48,Southern,Monaragala,Thanamalvila,2012-03-02,Electrocuted,Male,35,Subadults and adults
49,North Western,Puttalam,Nawagaththegama,2012-03-02,Gunshot,Female,26 - 27,Subadults and adults
50,North Western,Anuradhapura,Madawachchiya,2012-03-11,Unknown,Male,10 - 15,Unknown
51,North Western,Mannar,Nanattan,2012-03-12,Unknown,Female,20 - 25,Subadults and adults
52,Polonnaruwa,Trincomalee,Gomarankadawela,2012-03-14,Accident,Male,2 Weeks,Infant
53,Eastern,Ampara,Lahugala,2012-03-14,Hakkapatas,Male,15 - 20,Subadults and adults
54,North Western,Kurunegala,Galgamuwa,2012-03-14,Electrocuted,Male,25 - 30,Subadults and adults
55,North Western,Kurunegala,Galgamuwa,2012-03-14,Electrocuted,Female,20,Subadults and adults
56,YalaBundala,Hambantota,Thissamaharamaya,2012-03-16,Other,Male,50,Subadults and adults
57,North Western,Kurunegala,Polpithigama,2012-03-17,Train Accident,Female,30 - 35,Subadults and adults
58,Eastern,Ampara,Lahugala,2012-03-17,Hakkapatas,Female,20 - 25,Subadults and adults
59,Polonnaruwa,Trincomalee,Nagara  ha Kadawath,2012-03-20,Hakkapatas,Female,22 - 24,Subadults and adults
60,North Western,Puttalam,Nawagaththegama,2012-03-21,Gunshot,Female,26,Subadults and adults
61,Polonnaruwa,Polonnaruwa,Dimbulagala,2012-03-28,Unknown,Female,15,Subadults and adults
62,Polonnaruwa,Ampara,Dehiaththakandiya,2012-03-30,Unknown,Male,35,Subadults and adults
63,Southern,Ratnapura,Embilipitiya,2012-03-31,Natural,Male,Unknown,Unknown
64,Polonnaruwa,Trincomalee,Morawewa,2012-03-31,Poisned,Female,30 - 35,Subadults and adults
65,Southern,Ratnapura,Abilipitiya,2012-03-31,Unknown,Unknown,0.5 Months,Infant
66,Southern,Hambantota,Hambanthota,2012-04-01,Electrocuted,Female,30,Subadults and adults
67,North Western,Vavuniya,Wavniya North,2012-04-03,Hakkapatas,Female,10,Juvenile
68,Polonnaruwa,Polonnaruwa,Dimbulagala,2012-04-04,Unknown,Male,02,Calf
69,Southern,Monaragala,Wellawaya,2012-04-05,Unknown,Female,35 - 40,Subadults and adults
70,Eastern,Batticaloa,Chenkalladi,2012-04-05,Other,Female,15 - 20,Subadults and adults
71,North Western,Vavuniya,Wavniya North,2012-04-06,Hakkapatas,Male,10,Juvenile
72,Polonnaruwa,Trincomalee,Kinniya,2012-04-07,Hakkapatas,Female,30 - 35,Subadults and adults
73,Polonnaruwa,Trincomalee,Kinniya,2012-04-08,Unknown,Female,10 - 15,Unknown
74,Polonnaruwa,Trincomalee,Unknown,2012-04-09,Unknown,Female,10 - 15,Unknown
75,Eastern,Ampara,Lahugala,2012-04-11,Natural,Female,70,Subadults and adults
76,Polonnaruwa,Matale,Naula,2012-04-15,Gunshot,Female,25 - 30,Subadults and adults
77,Polonnaruwa,Polonnaruwa,Dambulla,2012-04-15,Unknown,Male,Unknown,Unknown
78,North Western,Anuradhapura,Horowpothana,2012-04-16,Electrocuted,Male,35,Subadults and adults
79,Eastern,Batticaloa,Chenkalladi,2012-04-16,Natural,Male,14 - 15,Subadults and adults
